"accountId","kuaishouId","index","userid","vid_name","photoId","anaDel","anaTags","caption","collectCount","commentCount","likeCount","shareCount","viewCount","cover","coverType","duration","forwardCount","headurls","insertTime","isPromotion","kwaiId","mtype","music","poi","screenType","shareInfo","status","subMtype","time","updateTime","adType","description","flagJson","itemId","itemSourceType","jumpUrl","price","sales","sourceType","thumb","title","url","get_time","filter","Tag1","Tag2","Tag3","Tag4","Tag5","date_only","week_id"
1437714105,"a29216059",202,1159,"V5228960746488641804","5228960746488641804","0","夏季搭配,穿搭,短裤套装","#夏季搭配 #穿搭 #短裤套装",6,0,17,6,3598,"//ali2.a.kwimgs.com/upic/2023/05/25/16/BMjAyMzA1MjUxNjI2MzhfMTQzNzcxNDEwNV8xMDM5MTQwNDk0NjJfMV8z_480p_B353dcd1377a04855ce71315686eaaba3.heif?tag=1-1687539134-sp-0-woqad53yjx-f7781c50c01a5af9&clientCacheKey=3x3qku882dg45fg_480p.heif&di=78260b72&bp=10321","heif","11805","0","[{""""cdn"""":""""p5.a.yximgs.com"""",""""url"""":""""//p5.a.yximgs.com/kimg/uhead/AB/2021/11/06/23/CjdCTWpBeU1URXhNRFl5TXpFNE1qWmZNVFF6TnpjeE5ERXdOVjh4WDJoa016VTNYemcwX3MuanBnEJXM1y8:200x200.heif""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/kimg/uhead/AB/2021/11/06/23/CjdCTWpBeU1URXhNRFl5TXpFNE1qWmZNVFF6TnpjeE5ERXdOVjh4WDJoa016VTNYemcwX3MuanBnEJXM1y8:200x200.heif""""}]","2023-06-24 00:52:18","0","a29216059","3","","","vertical","userId=3xnzya3rgznqqya&photoId=3x3qku882dg45fg","0","","2023-05-25 16:27:06","2023-06-24 01:28:17","7","8925 夏季新款时尚小众开叉薄款防晒衫+洋气豹纹松紧腰短裤","视频同款商品","299510894","99","",59.9,19,"12","//u1-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2968304427-8b2ea965cf91491aa17465fdb08753d2.jpg","8925 夏季新款时尚小众开叉薄款防晒衫+洋气豹纹松紧腰短裤","kwai://merchant/detailv2?sceneSource=1&itemId=20586191392427&sceneSource=1&itemId=20586191392427&itemId=20586191392427&id=20586191392427&ext=default&clientId=2&materialType=1&carrierType=1&authorId=QUqRTq1NHcI&clientVersion=67.80.0&materialId=HcT1U3WwBfM&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D%25252Fmerchant%25252Fshop%25252Fdetail%25253Fid%25253D20586191392427%252526hyId%25253Dkwaishop%252526layoutType%25253D4%252526promoteChannel%25253D1%252526promoteId%25253D1437714105&linkType=0&carrierId=TjDX771eimo&visitorId=lmnDeQhnyNU&promoteId=1437714105&promoteChannel=1&hyId=kwaishop&layoutType=4&heightRatio=0.7&traceTag=nY4BJAPGzVKUVu91fOL4Cw",2023-07-03 15:57:30,1,"夏季搭配","穿搭","短裤套装",NA,NA,2023-05-25,21
895742795,"XK895742795",854,828,"V5225864521363179178","5225864521363179178","0","蕾丝线,钩裙子衣服小衫蕾丝垫用线,手工编织","@快手热点(O40300129) #蕾丝线 #钩裙子衣服小衫蕾丝垫用线 #手工编织",6,15,40,4,4840,"//ty2.a.kwimgs.com/upic/2023/06/07/17/BMjAyMzA2MDcxNzQzMThfODk1NzQyNzk1XzEwNDk2NTg3ODI2M18yXzM=_480p_Be12b09b422e7738162fcc97779903a8a.heif?tag=1-1687355494-sp-0-vnu9qb6kbc-f0b43ace7fd07a1c&clientCacheKey=3xjcwjqghpkcwtg_480p.heif&di=31541841&bp=10321","heif","167666.0","0","[{""""cdn"""":""""p1.a.yximgs.com"""",""""url"""":""""//p1.a.yximgs.com/kimg/uhead/AB/2022/03/29/12/CjdCTWpBeU1qQXpNamt4TWpFd05UWmZPRGsxTnpReU56azFYekpmYUdRMU9GODJOREU9X3MuanBnEJXM1y8:200x200.heif""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/kimg/uhead/AB/2022/03/29/12/CjdCTWpBeU1qQXpNamt4TWpFd05UWmZPRGsxTnpReU56azFYekpmYUdRMU9GODJOREU9X3MuanBnEJXM1y8:200x200.heif""""}]","2023-06-21 21:51:38","1","VX15245692621","3","","{""""address"""":""""黑龙江省黑河市爱辉区"""",""""city"""":""""黑河市"""",""""title"""":""""黑河市""""}","vertical","userId=3xjbbgy7zfmwr9q&photoId=3xjcwjqghpkcwtg","0","","2023-06-07 17:45:09","2023-06-21 22:22:21","7","蜻禾绢丝棉蕾丝线一团75克","视频同款商品","20667595103795.0","99.0","",12.8,57,"12","//u1-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-895742795-3362b88935d649199243670139298c59.jpg","蜻禾绢丝棉蕾丝线一团75克","kwai://merchant/halfselfdetail?sceneSource=1&itemId=20667595103795&itemId=20667595103795&id=20667595103795&ext=default&clientId=2&materialType=1&carrierType=1&authorId=EZWECIg9UYs&clientVersion=9.8.10.21532&materialId=E5Pv44qbPgY&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D&linkType=0&carrierId=rC5ctvl5lOE&visitorId=lmnDeQhnyNU&hyId=kwaishop&layoutType=4&heightRatio=0.7&traceTag=nY4BJAPGzVKUVu91fOL4Cw&fromSceneShelf=10&fromSecondSceneShelf=37&paramSellerId=895742795",2023-07-05 17:07:44,1,"蕾丝线","钩裙子衣服小衫蕾丝垫用线","手工编织",NA,NA,2023-06-07,23
531886621,"mu891344-",662,528,"V5227834842155648681","5227834842155648681","0","小学数学,五年级下册数学,知识点梳理汇总","五年级下册数学知识点归纳总结，家长赶快为孩子收藏吧。#小学数学 #五年级下册数学 #知识点梳理汇总",120,2,102,61,6087,"//tx2.a.yximgs.com/bs2/ost/OTk3MzAyMzIxNTlfNTMxODg2NjIx.jpg","jpg","7933","0","[{""""cdn"""":""""p5.a.yximgs.com"""",""""url"""":""""//p5.a.yximgs.com/uhead/AB/2021/03/13/14/BMjAyMTAzMTMxNDAyNThfNTMxODg2NjIxXzFfaGQ4NTVfNjU1_s.jpg""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/uhead/AB/2021/03/13/14/BMjAyMTAzMTMxNDAyNThfNTMxODg2NjIxXzFfaGQ4NTVfNjU1_s.jpg""""}]","2023-04-30 23:03:58","1","mu891344-","3","","","vertical","userId=3xrzkyy3bj6mxws&photoId=3xr8ziwevzysgmk","0","","2023-04-03 21:57:56","2023-05-01 00:22:43","7","2023实验班提优训练一二三四五六年级上册下册语数英人教苏教北师","视频同款商品","20221020090814703","99","",23.88,2012,"12","//u2-000.ecukwai.com/bs2/image-kwaishop-product/item-140000048512582-87e72ceac42b4c3d823f52c7f91e397e.jpg","2023实验班提优训练一二三四五六年级上册下册语数英人教苏教北师","kwai://merchant/detailv2?sceneSource=1&itemId=15111192143182&sceneSource=1&itemId=15111192143182&itemId=15111192143182&id=15111192143182&ext=default&clientId=2&materialType=1&carrierType=1&authorId=uXlGhp98Pmk&clientVersion=19.77.0&materialId=nX6i8kBVFKo&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D%25252Fmerchant%25252Fshop%25252Fdetail%25253Fid%25253D15111192143182%252526hyId%25253Dkwaishop%252526layoutType%25253D4%252526promoteChannel%25253D1%252526promoteId%25253D531886621&linkType=0&carrierId=A7PDNkQ5C10&visitorId=lmnDeQhnyNU&promoteId=531886621&promoteChannel=1&hyId=kwaishop&layoutType=4&heightRatio=0.7",2023-07-20 18:30:01,1,"小学数学","五年级下册数学","知识点梳理汇总",NA,NA,2023-04-03,14
2062137944,"2062137944",110,1349,"V5245567764761683729","5245567764761683729","0","盐焗鹌鹑蛋,艾特你想艾特的人,分享我的美好生活","#盐焗鹌鹑蛋  盐焗口味咸淡适中还不用剥壳，大人小孩都爱吃 #艾特你想艾特的人 #分享我的美好生活",290,39,1127,208,69415,"//hw2.a.kwimgs.com/upic/2023/02/21/19/BMjAyMzAyMjExOTUwMzJfMjA2MjEzNzk0NF85NjczMzAzMTgyOF8wXzM=_480p_B63dc5155a4ed3d1db0dea5e699478c6f.heif?tag=1-1679327275-sp-0-zuy0rv72cf-3aa368b21cffb6fe&clientCacheKey=3xi2h7vdvbsxh66_480p.heif&di=75397644&bp=10321","heif","13263","0","[{""""cdn"""":""""p4.a.yximgs.com"""",""""url"""":""""//p4.a.yximgs.com/kimg/uhead/AB/2021/09/02/14/CjtCTWpBeU1UQTVNREl4TkRNMk1UQmZNakEyTWpFek56azBORjh5WDJoa016YzNYemt4TVE9PV9zLmpwZxCVzNcv:200x200.heif""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/kimg/uhead/AB/2021/09/02/14/CjtCTWpBeU1UQTVNREl4TkRNMk1UQmZNakEyTWpFek56azBORjh5WDJoa016YzNYemt4TVE9PV9zLmpwZxCVzNcv:200x200.heif""""}]","2023-03-20 23:48:01","1","","3","","","vertical","userId=3xtt36a3cxm36ra&photoId=3xi2h7vdvbsxh66","0","","2023-02-21 19:52:29","2023-03-21 00:25:13","7","【19.9元40颗鹌鹑蛋】南北特鹌鹑蛋盐焗风味 330g/袋","视频同款商品","3665868549145","99","",19.9,10000,"12","//u1-000.ecukwai.com/bs2/image-kwaishop-product/item-2074206145-9eb9ab87a01e499e8e301d9528af6a44.jpg","【19.9元40颗鹌鹑蛋】南北特鹌鹑蛋盐焗风味 330g/袋","kwai://merchant/halfselfdetail?sceneSource=1&itemId=3665868549145&itemId=3665868549145&id=3665868549145&ext=default&clientId=2&materialType=1&carrierType=1&authorId=Z4cEukR7WWY&clientVersion=9.8.10.21532&materialId=dU5OdNp7zGM&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D%25252Fmerchant%25252Fshop%25252Fdetail%25253Fid%25253D3665868549145%252526hyId%25253Dkwaishop%252526layoutType%25253D4%252526promoteChannel%25253D1%252526promoteId%25253Dks_2062137944_666_h4GJwQu2CBU&linkType=0&carrierId=mQ5H8vbKOyk&visitorId=lmnDeQhnyNU&promoteId=ks_2062137944_666_h4GJwQu2CBU&promoteChannel=1&hyId=kwaishop&layoutType=4&heightRatio=0.7",2023-07-24 14:15:28,1,"盐焗鹌鹑蛋","艾特你想艾特的人","分享我的美好生活",NA,NA,2023-02-21,8
1014587705,"TT20140730",347,887,"V5243878919443651935","5243878919443651935","0","服装,女装,新款上新","#服装 #女装 #新款上新",1,0,5,1,990,"//js2.a.kwimgs.com/upic/2023/07/06/09/BMjAyMzA3MDYwOTUzMDdfMTAxNDU4NzcwNV8xMDcyNTQ2MzgxNDlfMl8z_480p_Bd84a1091ec5cd89013ef6eee6aa7c54f.heif?tag=1-1690328674-sp-0-bo5pmml8gq-e2f6927010457c1d&clientCacheKey=3xwun2fy2kj5zec_480p.heif&di=3d911a27&bp=10001","heif","10433","0","[{""""cdn"""":""""p5.a.yximgs.com"""",""""url"""":""""//p5.a.yximgs.com/kimg/uhead/AB/2022/06/07/21/CjtCTWpBeU1qQTJNRGN5TVRJMk5USmZNVEF4TkRVNE56Y3dOVjh5WDJoa016VXdYelU1TkE9PV9zLmpwZxCVzNcv:200x200.heif""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/kimg/uhead/AB/2022/06/07/21/CjtCTWpBeU1qQTJNRGN5TVRJMk5USmZNVEF4TkRVNE56Y3dOVjh5WDJoa016VXdYelU1TkE9PV9zLmpwZxCVzNcv:200x200.heif""""}]","2023-07-26 07:44:36","1","TT20140730","3","{""""artist"""":""""DJ星云 / 桐羽"""",""""audioType"""":1,""""id"""":""""5xdz4r5r5pcky3m"""",""""name"""":""""女孩(DJ版)"""",""""nameChanged"""":null,""""photoId"""":null,""""type"""":4}","","vertical","userId=3xqixzn875s3cx4&photoId=3xwun2fy2kj5zec","0","","2023-07-06 09:53:30","2023-07-26 08:32:26","7","紫拉+新款洋气时尚不等式漏肩个性连衣裙腰部孔洞三点是定位点","视频同款商品","20593417018705","99","",65,384,"12","//u1-000.ecukwai.com/bs2/image-kwaishop-product/item-1014587705-73a815fcf539459cb4f29737e4987763.jpg","紫拉+新款洋气时尚不等式漏肩个性连衣裙腰部孔洞三点是定位点","kwai://merchant/halfselfdetail?sceneSource=1&itemId=20593417018705&itemId=20593417018705&id=20593417018705&ext=default&clientId=2&materialType=1&carrierType=1&authorId=AOq8ITa9Ot4&clientVersion=9.8.10.21532&materialId=yTFwpngLS2I&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D&linkType=0&carrierId=pda9ElH7ABY&visitorId=lmnDeQhnyNU&hyId=kwaishop&layoutType=4&heightRatio=0.7&traceTag=nY4BJAPGzVKUVu91fOL4Cw&fromSceneShelf=10&fromSecondSceneShelf=37&paramSellerId=1014587705",2023-07-31 16:16:50,1,"服装","女装","新款上新",NA,NA,2023-07-06,27
100745581,"shanshanjita",208,124,"V5206724218506652697","5206724218506652697","0","音乐,吉他,快手音乐人","#音乐 #吉他 #快手音乐人",7,59,191,36,6660,"//ali2.a.yximgs.com/bs2/ost/OTkwODE3ODA1NDBfMTAwNzQ1NTgx.jpg","jpg","55700","0","[{""""cdn"""":""""p5.a.yximgs.com"""",""""url"""":""""//p5.a.yximgs.com/uhead/AB/2021/07/12/07/BMjAyMTA3MTIwNzI4NDZfMTAwNzQ1NTgxXzFfaGQ4MjJfMzE4_s.jpg""""},{""""cdn"""":""""p1.a.yximgs.com"""",""""url"""":""""//p1.a.yximgs.com/uhead/AB/2021/07/12/07/BMjAyMTA3MTIwNzI4NDZfMTAwNzQ1NTgxXzFfaGQ4MjJfMzE4_s.jpg""""}]","2023-04-25 01:23:06","1","shanshanjita","3","","","vertical","userId=3xyrhcivy5haina&photoId=3xrtbg27bjjc8ai","0","","2023-03-26 17:46:17","2023-04-25 02:25:57","7","Am珊珊吉他音乐专辑","视频同款商品","20197213467581","99","",99,12,"12","//u2-000.ecukwai.com/bs2/image-kwaishop-product/item-100745581-d66f6153fa574bd7a429a64b6b52626a.jpg","Am珊珊吉他音乐专辑","kwai://merchant/detailv2?sceneSource=1&itemId=20197213467581&sceneSource=1&itemId=20197213467581&itemId=20197213467581&id=20197213467581&ext=default&clientId=2&materialType=1&carrierType=1&authorId=2n0fdShMzWI&clientVersion=17.4.0&materialId=XRDd7TKTUcc&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D&linkType=0&carrierId=rB5Be-gcdtU&visitorId=lmnDeQhnyNU&hyId=kwaishop&layoutType=4&heightRatio=0.7",2023-07-21 13:54:20,1,"音乐","吉他","快手音乐人",NA,NA,2023-03-26,12
2062137944,"2062137944",1141,1349,"V5245849241116884200","5245849241116884200","0","坚果小小酥,南北五味","#坚果小小酥  我既然接受你，那也会接受你的一切 #南北五味",2677,227,12554,357,462902,"//hw.a.yximgs.com/bs2/ost/OTk0MTQ3NTEwMTBfMjA2MjEzNzk0NA.jpg","jpg","89340","0","[{""""cdn"""":""""p4.a.yximgs.com"""",""""url"""":""""//p4.a.yximgs.com/uhead/AB/2021/09/02/14/BMjAyMTA5MDIxNDM2MTBfMjA2MjEzNzk0NF8yX2hkMzc3XzkxMQ==_s.jpg""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/uhead/AB/2021/09/02/14/BMjAyMTA5MDIxNDM2MTBfMjA2MjEzNzk0NF8yX2hkMzc3XzkxMQ==_s.jpg""""}]","2023-04-28 00:03:52","1","","3","","","vertical","userId=3xtt36a3cxm36ra&photoId=3x7pistefngxsi9","0","","2023-03-31 14:24:37","2023-04-28 01:27:10","7","德力兴坚果Q趣曲奇饼干休闲食品网红小零食大礼包零食推荐308g/袋","视频同款商品","15355799943653","99","",9.9,3385,"12","//u2-000.ecukwai.com/bs2/image-kwaishop-product/item-3142418653-be24f5e2f02145e6bc25261f199c6e9e.jpg","德力兴坚果Q趣曲奇饼干休闲食品网红小零食大礼包零食推荐308g/袋","kwai://merchant/detailv2?sceneSource=1&itemId=15355799943653&sceneSource=1&itemId=15355799943653&itemId=15355799943653&id=15355799943653&ext=default&clientId=2&materialType=1&carrierType=1&authorId=Z4cEukR7WWY&clientVersion=20.60.0&materialId=YlG-x1ptr14&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D%25252Fmerchant%25252Fshop%25252Fdetail%25253Fid%25253D15355799943653%252526hyId%25253Dkwaishop%252526layoutType%25253D4%252526promoteChannel%25253D1%252526promoteId%25253D2062137944&linkType=0&carrierId=goNemPUkOJ0&visitorId=lmnDeQhnyNU&promoteId=2062137944&promoteChannel=1&hyId=kwaishop&layoutType=4&heightRatio=0.7",2023-07-20 20:36:59,1,"坚果小小酥","南北五味",NA,NA,NA,2023-03-31,13
1689024445,"L-534686",292,1252,"V5197154065615809420","5197154065615809420","0","花馍培训,胶东花饽饽教学,果蔬卡通包教学","好妈妈7天实地课程
一对一辅导包教包会 #花馍培训 #胶东花饽饽教学 #果蔬卡通包教学",28,23,397,4,13882,"//bd2.a.kwimgs.com/upic/2023/03/22/18/BMjAyMzAzMjIxODMyMzNfMTY4OTAyNDQ0NV85ODc1NzYxNTE1MF8xXzM=_480p_Bd1e5c32fb8c406d02b80a0e12cd5ab16.heif?tag=1-1682009237-sp-0-17zncx2w8a-790100664fe118d5&clientCacheKey=3xg76zmzzadgywc_480p.heif&di=da51f0b5&bp=14971","heif","32800","0","[{""""cdn"""":""""p4.a.yximgs.com"""",""""url"""":""""//p4.a.yximgs.com/uhead/AB/2022/07/30/14/BMjAyMjA3MzAxNDEyNDBfMTY4OTAyNDQ0NV8yX2hkNDk0XzkzMg==_s.jpg""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/uhead/AB/2022/07/30/14/BMjAyMjA3MzAxNDEyNDBfMTY4OTAyNDQ0NV8yX2hkNDk0XzkzMg==_s.jpg""""}]","2023-04-21 00:47:18","0","L-534686","3","{""""artist"""":""""明洋"""",""""audioType"""":1,""""id"""":""""5xwrnamfcpy9wg4"""",""""name"""":""""新鲜感"""",""""nameChanged"""":null,""""photoId"""":null,""""type"""":4}","","vertical","userId=3xtu4k7jjpr4ium&photoId=3xg76zmzzadgywc","0","","2023-03-22 18:33:07","2023-04-21 01:24:06","7","【商用课程咨询费】花饽饽花馍寿糕贡品馒头中式蛋糕","视频同款商品","5077842520445","99","",39,9,"12","//u1-000.ecukwai.com/bs2/image-kwaishop-product/item-1689024445-f5d29b77cc5d4dd8ba3ebccf908ce3bf.jpg","【商用课程咨询费】花饽饽花馍寿糕贡品馒头中式蛋糕","kwai://merchant/detailv2?sceneSource=1&itemId=5077842520445&sceneSource=1&itemId=5077842520445&itemId=5077842520445&id=5077842520445&ext=default&clientId=2&materialType=1&carrierType=1&authorId=cb2wOdDnRfk&clientVersion=10.11.20.29043&materialId=TBw3kXTU9oo&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D&linkType=0&carrierId=8j06Ab5H8gs&visitorId=lmnDeQhnyNU&hyId=kwaishop&layoutType=4&heightRatio=0.7",2023-07-21 16:54:18,1,"花馍培训","胶东花饽饽教学","果蔬卡通包教学",NA,NA,2023-03-22,12
1840824308,"1840824308",90,1281,"V5231494023261068563","5231494023261068563","0","电钻新技能,电钻改剪板器,高性能实用工具","#电钻新技能 #电钻改剪板器 #高性能实用工具",32,4,102,19,17022,"//ali2.a.kwimgs.com/upic/2023/06/22/16/BMjAyMzA2MjIxNjU0MTFfMTg0MDgyNDMwOF8xMDYxNjI0Mzc1MjJfMV8z_480p_Bbd2f87e3d356e48a3fd09b73cef64274.heif?tag=1-1689703916-sp-0-6l8vvaeewp-f4df0da44a909086&clientCacheKey=3xhcttizdhvyef6_480p.heif&di=7ba0442f&bp=10321","heif","42266.0","0","[{""""cdn"""":""""p5.a.yximgs.com"""",""""url"""":""""//p5.a.yximgs.com/kimg/uhead/AB/2022/02/26/16/CjtCTWpBeU1qQXlNall4TmpJd01UZGZNVGcwTURneU5ETXdPRjh5WDJoa01qWXpYemN5TXc9PV9zLmpwZxCVzNcv:200x200.heif""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/kimg/uhead/AB/2022/02/26/16/CjtCTWpBeU1qQXlNall4TmpJd01UZGZNVGcwTURneU5ETXdPRjh5WDJoa01qWXpYemN5TXc9PV9zLmpwZxCVzNcv:200x200.heif""""}]","2023-07-19 02:11:58","0","","3","","","vertical","userId=3xwugncg9swcvwq&photoId=3xhcttizdhvyef6","0","","2023-06-22 16:55:11","2023-07-19 03:32:12","7","新型剪板器（不带电钻）","视频同款商品","5087503507308.0","99.0","",59.8,5439,"12","//u1-000.ecukwai.com/bs2/image-kwaishop-product/item-1840824308-06b0edbab3614143a1eb1391032b8f5a.jpg","新型剪板器（不带电钻）","kwai://webview?url=https%3A%2F%2Fapp.kwaixiaodian.com%2Fpage%2Fkwaishop-buyer-goods-h5%2Fplc%3FitemId%3D5087503507308%26vh%3D70%26sellerId%3D1840824308%26carrierType%3D1%26layoutType%3D4%26plcPlatformRecommend%3D0%26carrierEntry%3D017%26carrierId%3DzErpvgHBYMk%26__launch_options__%3D%257B%2522progressBarColor%2522%253A%2522%252300000000%2522%252C%2520%2522webViewBgColor%2522%253A%2522%252300000000%2522%257D%26hyId%3Dkwaishop_plc%26isTranslucent%3D1&merchantResumePlay=1&useMerchantPresent=1&bizContainer=merchantTranslucent",2023-07-30 16:04:53,1,"电钻新技能","电钻改剪板器","高性能实用工具",NA,NA,2023-06-22,25
1437714105,"a29216059",344,1159,"V5224175663973011907","5224175663973011907","0","穿搭,每日穿搭分享,裤装穿搭","#穿搭 #每日穿搭分享 #裤装穿搭",5,0,49,3,1929,"//hw.a.yximgs.com/bs2/ost/OTg3NDIxMTEyNzVfMTQzNzcxNDEwNQ.jpg","jpg","11125","0","[{""""cdn"""":""""p5.a.yximgs.com"""",""""url"""":""""//p5.a.yximgs.com/uhead/AB/2021/11/06/23/BMjAyMTExMDYyMzE4MjZfMTQzNzcxNDEwNV8xX2hkMzU3Xzg0_s.jpg""""},{""""cdn"""":""""p2.a.yximgs.com"""",""""url"""":""""//p2.a.yximgs.com/uhead/AB/2021/11/06/23/BMjAyMTExMDYyMzE4MjZfMTQzNzcxNDEwNV8xX2hkMzU3Xzg0_s.jpg""""}]","2023-04-21 00:39:25","1","a29216059","3","","","vertical","userId=3xnzya3rgznqqya&photoId=3xrrvg8rhdhrtjm","0","","2023-03-22 13:39:46","2023-04-21 01:27:17","7","8200 气质网纱上衣+玫红直筒牛仔裤","视频同款商品","20134082745105","99","",59.9,20,"12","//u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-1437714105-9b92046116a24c9f8a5b149907a8e7be.jpg","8200 气质网纱上衣+玫红直筒牛仔裤","kwai://merchant/detailv2?sceneSource=1&itemId=20134082745105&sceneSource=1&itemId=20134082745105&itemId=20134082745105&id=20134082745105&ext=default&clientId=2&materialType=1&carrierType=1&authorId=QUqRTq1NHcI&clientVersion=28.11.0&materialId=N_cvU0OwebY&asUrl=https%3A%2F%2Fwebapp.kuaishou.com&sourceType=99&linkUrl=https%3A%2F%2Fm.kuaishou.com%2Fkwaishop%2Findex%3FsourceType%3D99%26kwaiShopUrl%3D&linkType=0&carrierId=zVLqZFRteII&visitorId=lmnDeQhnyNU&hyId=kwaishop&layoutType=4&heightRatio=0.7",2023-07-21 17:09:48,1,"穿搭","每日穿搭分享","裤装穿搭",NA,NA,2023-03-22,12
